model,horizon,metric,value
naive,1,rmse,1.6209922547563784
naive,1,qlike,130.93402461064903
naive,1,qlike_median,-2.7366181149005415
naive,1,qlike_trimmed_1pct,39.646989875965474
naive,1,dir_acc,0.32665053577601105
garch,1,rmse,1.4149745128048337
garch,1,qlike,-2.9990982445116443
garch,1,qlike_median,-3.5269360417379834
garch,1,qlike_trimmed_1pct,-3.116357066200093
garch,1,dir_acc,0.29415831316972
lgbm,1,rmse,1.2880837864998549
lgbm,1,qlike,3.4300582491076685
lgbm,1,qlike_median,-3.4878876262635106
lgbm,1,qlike_trimmed_1pct,1.0644481625392388
lgbm,1,dir_acc,0.5281714483235396
lstm,1,rmse,1.192600213655879
lstm,1,qlike,0.18720991191290715
lstm,1,qlike_median,-3.8570573557226533
lstm,1,qlike_trimmed_1pct,-0.7213386272158446
lstm,1,dir_acc,0.4479778776356723
naive,5,rmse,0.647499737440997
naive,5,qlike,-1.9995865900279668
naive,5,qlike_median,-2.9244217674084054
naive,5,qlike_trimmed_1pct,-2.3948942733358662
naive,5,dir_acc,0.4060020696791997
garch,5,rmse,0.6016714603505919
garch,5,qlike,-2.921530654267527
garch,5,qlike_median,-3.27160175209543
garch,5,qlike_trimmed_1pct,-2.9931236939728185
garch,5,dir_acc,0.3325284580889962
lgbm,5,rmse,0.6455735769200729
lgbm,5,qlike,-2.274599002035031
lgbm,5,qlike_median,-3.1803336251165324
lgbm,5,qlike_trimmed_1pct,-2.5957734480428107
lgbm,5,dir_acc,0.48327009313556396
lstm,5,rmse,0.5746206266315542
lstm,5,qlike,-2.549351795914188
lstm,5,qlike_median,-3.294489416782551
lstm,5,qlike_trimmed_1pct,-2.7181236541416482
lstm,5,dir_acc,0.4235943428768541
naive,21,rmse,0.4782743368706209
naive,21,qlike,-2.456303602186049
naive,21,qlike_median,-3.013474032958408
naive,21,qlike_trimmed_1pct,-2.626515118162953
naive,21,dir_acc,0.35736460848568474
garch,21,rmse,0.44352032533206714
garch,21,qlike,-2.7382189170750206
garch,21,qlike_median,-3.1454858115401194
garch,21,qlike_trimmed_1pct,-2.8824357685793176
garch,21,dir_acc,0.3170058640910659
lgbm,21,rmse,0.5421285421398042
lgbm,21,qlike,-2.285009686026937
lgbm,21,qlike_median,-3.0059192500166434
lgbm,21,qlike_trimmed_1pct,-2.585902341219438
lgbm,21,dir_acc,0.47188685753708176
lstm,21,rmse,0.4228900959636225
lstm,21,qlike,-2.6058771750724525
lstm,21,qlike_median,-3.204374371113171
lstm,21,qlike_trimmed_1pct,-2.8432133174002208
lstm,21,dir_acc,0.39427388754743015
