model,horizon,fold,inner_rmse,params_json
lgbm,1,0,1.1599746337901806,"{""feature_fraction"": 0.8, ""lambda_l2"": 0.0, ""min_child_samples"": 20, ""num_leaves"": 15}"
lstm,1,0,1.0186744559203271,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001}"
lgbm,1,1,1.2607227056537826,"{""feature_fraction"": 0.9, ""lambda_l2"": 1.0, ""min_child_samples"": 30, ""num_leaves"": 63}"
lstm,1,1,1.1687053224079473,"{""batch_size"": 64, ""dropout"": 0.2, ""hidden"": 64, ""lr"": 0.001}"
lgbm,1,2,1.2989635707034592,"{""feature_fraction"": 0.8, ""lambda_l2"": 0.0, ""min_child_samples"": 20, ""num_leaves"": 15}"
lstm,1,2,1.2247342435845563,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001}"
lgbm,1,3,1.2934078937828861,"{""feature_fraction"": 0.8, ""lambda_l2"": 0.0, ""min_child_samples"": 20, ""num_leaves"": 15}"
lstm,1,3,1.2018742580465036,"{""batch_size"": 64, ""dropout"": 0.2, ""hidden"": 64, ""lr"": 0.001}"
lgbm,1,4,1.2357039547556274,"{""feature_fraction"": 0.8, ""lambda_l2"": 0.0, ""min_child_samples"": 20, ""num_leaves"": 15}"
lstm,1,4,1.1335596905628285,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001}"
lgbm,5,0,0.44383439784818157,"{""feature_fraction"": 0.9, ""lambda_l2"": 1.0, ""min_child_samples"": 30, ""num_leaves"": 63}"
lstm,5,0,0.3823572463367925,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001}"
lgbm,5,1,0.5793161864068899,"{""feature_fraction"": 0.8, ""lambda_l2"": 0.0, ""min_child_samples"": 20, ""num_leaves"": 15}"
lstm,5,1,0.49456319861604536,"{""batch_size"": 64, ""dropout"": 0.2, ""hidden"": 64, ""lr"": 0.0005}"
lgbm,5,2,0.6151865030746158,"{""feature_fraction"": 0.8, ""lambda_l2"": 0.0, ""min_child_samples"": 20, ""num_leaves"": 15}"
lstm,5,2,0.5309593796065213,"{""batch_size"": 64, ""dropout"": 0.2, ""hidden"": 64, ""lr"": 0.0005}"
lgbm,5,3,0.6585163480950578,"{""feature_fraction"": 0.8, ""lambda_l2"": 0.0, ""min_child_samples"": 20, ""num_leaves"": 15}"
lstm,5,3,0.6174004350061809,"{""batch_size"": 64, ""dropout"": 0.2, ""hidden"": 64, ""lr"": 0.0005}"
lgbm,5,4,0.6481224772829235,"{""feature_fraction"": 0.8, ""lambda_l2"": 0.0, ""min_child_samples"": 20, ""num_leaves"": 15}"
lstm,5,4,0.5696198436172982,"{""batch_size"": 64, ""dropout"": 0.2, ""hidden"": 64, ""lr"": 0.001}"
lgbm,21,0,0.32383830900254945,"{""feature_fraction"": 0.9, ""lambda_l2"": 1.0, ""min_child_samples"": 30, ""num_leaves"": 63}"
lstm,21,0,0.431772308805953,"{""batch_size"": 64, ""dropout"": 0.2, ""hidden"": 64, ""lr"": 0.001}"
lgbm,21,1,0.4552105985642854,"{""feature_fraction"": 0.8, ""lambda_l2"": 0.0, ""min_child_samples"": 20, ""num_leaves"": 15}"
lstm,21,1,0.2945658680360422,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001}"
lgbm,21,2,0.5089148485197025,"{""feature_fraction"": 0.8, ""lambda_l2"": 0.0, ""min_child_samples"": 20, ""num_leaves"": 15}"
lstm,21,2,0.4124791181491298,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001}"
lgbm,21,3,0.5488797884714348,"{""feature_fraction"": 0.8, ""lambda_l2"": 0.0, ""min_child_samples"": 20, ""num_leaves"": 15}"
lstm,21,3,0.5052461932442234,"{""batch_size"": 64, ""dropout"": 0.2, ""hidden"": 64, ""lr"": 0.0005}"
lgbm,21,4,0.6187645428425324,"{""feature_fraction"": 0.8, ""lambda_l2"": 0.0, ""min_child_samples"": 20, ""num_leaves"": 15}"
lstm,21,4,0.541299520547687,"{""batch_size"": 64, ""dropout"": 0.2, ""hidden"": 64, ""lr"": 0.0005}"
